Regio Sint-Truiden,-0.171277,-0.173018,0.210424,-0.294773,0.268737,-0.391409,0.166019,0.557981,-0.204958,0.217617,0.141783,0.072991,-0.293921,-0.169527,0.123731
9070-DESTELBERGEN,0.400592,0.266574,0.288138,-0.112629,0.0565713,-0.279334,-0.0417159,0.0596869,-0.267789,-0.495201,0.00384408,0.268171,0.0593556,-0.369751,0.238999
3221-NIEUWRODE,-0.109951,-0.223166,0.106794,-0.0959606,-0.312371,-0.0827715,0.198114,0.80021,0.140548,-0.1955,0.19972,0.085094,0.165256,0.0273923,0.0179038
2381-WEELDE,-0.0363734,0.0583171,0.265285,-0.205372,0.0125963,0.476511,-0.0663848,0.0234362,-0.145078,-0.436204,0.359045,-0.0353978,-0.439957,0.298201,0.163006
3580-BERINGEN,-0.394166,0.201013,0.158505,0.104979,-0.219387,-0.204621,-0.0231609,0.358926,-0.0814427,0.0162921,0.272568,-0.000379825,-0.683346,0.00308362,0.0235536
9052-ZWIJNAARDE,0.329252,0.202988,0.339625,-0.237182,-0.0453381,-0.294446,-0.0110917,-0.00887502,0.0217719,-0.640936,0.0478765,0.0208403,0.0402446,-0.398039,0.12561
9310-MOORSEL,0.472603,-0.377766,0.208187,-0.0806731,-0.21545,-0.132751,-0.0586108,0.169263,-0.424234,-0.0493762,0.301633,-0.108709,0.0344509,0.00396929,0.44894
Provincie Antwerpen,0.280961,-0.282766,-0.174842,-0.175371,-0.176058,0.104915,0.0204145,0.246707,0.0460307,-0.253743,0.0683233,0.136905,-0.700238,-0.117062,-0.287303
9050-GENTBRUGGE,0.51407,0.245751,0.190669,-0.316454,0.164041,-0.331698,0.363123,-0.00598346,-0.233402,-0.340003,-0.0475664,0.0865761,0.000858173,-0.253904,0.160339
3010-KESSEL-LO,0.0469917,0.103649,0.0341591,-0.406235,0.008075,-0.00578015,0.0353082,0.700745,0.320848,-0.10472,0.172728,0.149408,0.0256945,-0.122472,0.383066
3270-SCHERPENHEUVEL,-0.413324,0.0749831,0.114623,-0.23216,-0.348348,-0.298203,0.0260364,0.580969,-0.0659825,-0.259205,0.25518,0.0444408,-0.0323895,0.210798,0.154639
3945-HAM,-0.353785,-0.0868438,0.319067,0.095518,-0.185852,-0.158928,-0.146726,0.225322,-0.172066,-0.0963847,0.405618,0.262708,-0.58511,-0.0518619,-0.0823934
9971-LEMBEKE,0.35431,-0.287951,0.334201,0.0577222,0.0498802,-0.354639,-0.115098,0.121281,-0.0307937,-0.483996,-0.47339,0.129737,0.00036014,-0.0544084,0.203033
8310-ASSEBROEK,0.452587,0.129452,0.286344,0.134564,0.241808,-0.326133,0.165482,0.437432,0.0746241,-0.216254,-0.18902,-0.180539,-0.283193,0.191316,-0.23934
2910-ESSEN,0.167075,-0.391765,-0.0193528,-0.248836,0.0620463,0.061169,0.191573,0.19829,-0.548877,0.00381771,-0.131553,0.107623,-0.378697,0.417263,-0.158153
8930-MENEN,-0.0990495,0.49021,0.307429,-0.313841,-0.233299,-0.0821609,0.497526,0.227286,0.0955909,-0.153718,-0.34365,-0.0165614,-0.185066,-0.0205647,-0.103421
8570-ANZEGEM,-0.0765118,0.210828,0.455542,-0.14623,-0.522192,-0.208342,-0.0555886,-0.116104,-0.159195,-0.324635,-0.113372,-0.409617,-0.219194,-0.133176,-0.104797
3210-LUBBEEK,-0.121233,-0.0983862,-0.00636512,-0.432622,-0.00583369,-0.0425083,0.154984,0.800367,0.0746574,-0.1767,0.140137,-0.0325505,0.069757,-0.0123831,0.24384
9700-OUDENAARDE,0.163193,0.148192,0.218926,-0.241034,-0.320267,-0.391528,0.157887,-0.405146,-0.35081,-0.236752,-0.0856318,-0.196629,-0.303682,-0.28102,-0.064298
200003-Shanghai,-0.0225947,-0.615957,0.320943,-0.145636,0.0555388,-0.283133,0.322204,0.0747421,0.167498,0.0655147,-0.144274,-0.141041,-0.442653,0.140371,-0.1205
Brussel,0.483919,0.207616,-0.0133667,-0.216231,-0.146149,-0.468839,0.050199,0.101427,0.385407,0.0354211,0.309972,0.0385787,-0.380835,0.0612803,0.160162
8970-POPERINGE,0.0214887,0.111529,0.488242,-0.140024,-0.113129,0.103882,0.535278,0.442379,-0.275014,0.144957,-0.338816,0.0968785,0.0350399,-0.009944,0.0338851
1932-SINT-STEVENS-WOLUWE,0.385135,0.115448,0.0117485,-0.170621,-0.0976154,-0.150557,0.0561167,0.39611,0.579603,-0.00170654,0.124284,-0.0710354,-0.204218,0.0505538,0.464917
2431-VEERLE,-0.261561,0.0680249,0.0556513,-0.230993,-0.331408,-0.139227,-0.020179,0.455891,0.127094,-0.0930395,0.366405,0.329659,-0.374639,0.279392,-0.216549
9600-RONSE,0.130175,0.0612654,0.272884,-0.332505,-0.453173,-0.268891,-0.0873689,0.0353202,-0.147386,-0.0386876,-0.392697,-0.366471,-0.0223827,-0.432033,0.0940306
8750-WINGENE,0.17128,-0.027312,0.377931,0.241197,-0.01227,-0.343489,0.356563,0.226687,-0.196353,-0.434352,-0.18261,-0.211282,-0.203933,0.324361,-0.142299
8020-RUDDERVOORDE,0.246395,-0.234155,0.318196,0.279246,0.025645,-0.193701,0.14788,0.110774,-0.270924,-0.310224,-0.183669,-0.349809,-0.356886,0.410041,-0.108054
8647-LO-RENINGE,0.00364751,0.0438581,0.707858,-0.191223,0.0468858,0.110864,0.330463,0.147109,-0.387895,0.132983,-0.224113,0.0811859,-0.161688,0.227561,0.110483
